code,code_20km,massif_ha,part_loin_voie,part_loin_piste,part_loin_eau,part_resineux,pistes_km,densite_pistes_m_ha,points_eau,brule_2022_ha,dnbr_moyen,obligations_old,obligations_prioritaires,constructions,indice_vigilance
DE62C7,DE62,320.2,0.0,0.0,1.0,0.626,9.5,29.7,0,0.0,,0,0,1,41.0
DE62C8,DE62,256.8,0.0,0.233,1.0,0.707,4.8,18.5,0,0.0,,0,0,0,43.0
DE62C9,DE62,91.3,0.0,0.931,1.0,0.813,0.0,0.0,0,0.0,,0,0,1,45.0
DE64C0,DE64,205.9,0.0,0.965,1.0,0.546,0.0,0.0,0,0.0,,0,0,1,39.0
DE64C1,DE64,380.1,0.0,0.941,1.0,0.406,0.0,0.0,0,1.9,0.503,9,9,16,36.0
DE64C2,DE64,379.0,0.0,1.0,1.0,0.364,0.0,0.0,0,232.0,0.494,8,8,16,35.0
DE64C3,DE64,322.4,0.0,1.0,0.92,0.39,0.0,0.0,0,378.7,0.48,41,9,78,38.0
DE64C4,DE64,333.0,0.0,1.0,0.933,0.436,0.0,0.0,0,326.3,0.529,1,1,1,34.0
DE64C5,DE64,390.3,0.0,1.0,1.0,0.491,0.0,0.0,0,399.2,0.647,1,1,1,37.0
DE64C6,DE64,377.8,0.0,1.0,1.0,0.429,0.0,0.0,0,130.7,0.524,23,21,34,38.0
DE64C7,DE64,390.5,0.0,1.0,1.0,0.662,0.0,0.0,0,0.0,,7,4,13,42.0
DE64C8,DE64,368.6,0.0,1.0,0.488,0.596,0.0,0.0,2,0.0,,62,3,103,34.0
DE64C9,DE64,361.3,0.0,1.0,0.926,0.531,0.0,0.0,0,0.0,,30,20,53,40.0
DE66C0,DE66,177.1,0.0,1.0,1.0,0.427,0.0,0.0,0,0.0,,14,13,41,38.0
DE66C1,DE66,91.5,0.0,1.0,0.785,0.655,0.0,0.0,0,0.0,,0,0,37,38.0
DE66C2,DE66,331.0,0.0,1.0,0.956,0.482,0.0,0.0,0,0.0,,0,0,62,40.0
DE62D7,DE62,194.3,0.0,0.078,1.0,0.589,8.5,44.0,0,0.0,,0,0,8,40.0
DE62D8,DE62,333.3,0.0,0.905,1.0,0.795,0.0,0.1,0,0.0,,0,0,0,45.0
DE62D9,DE62,175.1,0.0,1.0,1.0,0.623,0.0,0.0,0,0.0,,4,4,9,41.0
DE64D0,DE64,395.1,0.0,1.0,0.994,0.644,0.0,0.0,0,0.0,,1,1,1,41.0
DE64D1,DE64,374.3,0.0,1.0,0.818,0.421,0.0,0.0,0,0.0,,99,12,178,43.0
DE64D2,DE64,367.9,0.0,1.0,1.0,0.424,0.0,0.0,0,119.0,0.431,8,8,15,37.0
DE64D3,DE64,376.0,0.0,1.0,1.0,0.536,0.0,0.0,0,377.4,0.43,19,17,42,41.0
DE64D4,DE64,388.2,0.0,1.0,1.0,0.544,0.0,0.0,0,336.8,0.424,28,18,54,42.0
DE64D5,DE64,370.9,0.0,1.0,1.0,0.184,0.0,0.0,0,256.2,0.543,69,30,161,40.0
DE64D6,DE64,360.2,0.0,1.0,1.0,0.441,0.0,0.0,0,68.8,0.474,1,1,1,36.0
DE64D7,DE64,392.2,0.0,1.0,0.812,0.489,0.0,0.0,0,0.0,,15,2,21,34.0
DE64D8,DE64,370.9,0.0,1.0,0.459,0.413,0.0,0.0,1,0.0,,124,9,205,35.0
DE64D9,DE64,370.4,0.0,1.0,1.0,0.616,0.0,0.0,0,0.0,,0,0,0,40.0
DE66D0,DE66,312.1,0.0,1.0,1.0,0.435,0.0,0.0,0,0.0,,20,20,40,39.0
DE66D1,DE66,374.0,0.0,1.0,0.609,0.553,0.0,0.0,1,0.0,,0,0,66,33.0
DE66D2,DE66,302.0,0.0,1.0,0.631,0.397,0.0,0.0,0,0.0,,0,0,901,46.0
DE62E7,DE62,206.5,0.0,0.861,1.0,0.427,0.7,3.3,0,0.0,,4,4,19,37.0
DE62E8,DE62,330.8,0.0,1.0,1.0,0.426,0.0,0.0,0,0.0,,0,0,0,36.0
DE62E9,DE62,371.2,0.0,1.0,1.0,0.551,0.0,0.0,0,0.0,,12,12,33,41.0
DE64E0,DE64,388.2,0.0,1.0,0.959,0.609,0.0,0.0,0,0.0,,29,28,49,42.0
DE64E1,DE64,335.1,0.0,1.0,0.454,0.377,0.0,0.0,1,12.6,0.393,92,27,173,32.0
DE64E2,DE64,329.5,0.0,1.0,1.0,0.36,0.0,0.0,0,363.2,0.511,20,20,34,36.0
DE64E3,DE64,393.4,0.0,1.0,1.0,0.453,0.0,0.0,0,399.2,0.548,9,9,17,37.0
DE64E4,DE64,378.5,0.0,1.0,0.596,0.435,0.0,0.0,1,239.1,0.49,65,22,132,35.0
DE64E5,DE64,337.9,0.0,1.0,0.442,0.283,0.0,0.0,1,113.6,0.437,232,79,416,38.0
DE64E6,DE64,388.9,0.0,1.0,1.0,0.418,0.0,0.0,0,23.1,0.438,1,1,2,36.0
DE64E7,DE64,396.2,0.0,1.0,0.997,0.664,0.0,0.0,0,0.0,,0,0,0,42.0
DE64E8,DE64,366.2,0.0,1.0,0.955,0.543,0.0,0.0,0,0.0,,11,11,15,38.0
DE64E9,DE64,387.7,0.0,1.0,0.892,0.563,0.0,0.0,0,0.0,,9,9,19,38.0
DE66E0,DE66,311.0,0.0,1.0,0.779,0.441,0.0,0.0,0,0.0,,25,13,41,33.0
DE66E1,DE66,397.4,0.0,1.0,1.0,0.418,0.0,0.0,0,0.0,,0,0,0,35.0
DE66E2,DE66,349.5,0.0,1.0,1.0,0.367,0.0,0.0,0,0.0,,0,0,146,44.0
DE62F7,DE62,218.7,0.0,0.989,1.0,0.433,0.0,0.2,0,0.0,,8,6,44,39.0
DE62F8,DE62,329.0,0.0,1.0,1.0,0.701,0.0,0.0,0,0.0,,3,3,4,43.0
DE62F9,DE62,395.0,0.0,1.0,1.0,0.83,0.0,0.0,0,0.0,,10,10,15,47.0
DE64F0,DE64,386.2,0.0,1.0,1.0,0.677,0.0,0.0,0,0.0,,26,26,58,46.0
DE64F1,DE64,377.2,0.0,1.0,1.0,0.366,0.0,0.0,0,47.8,0.478,45,22,88,40.0
DE64F2,DE64,391.4,0.0,1.0,1.0,0.638,0.0,0.0,0,376.3,0.502,21,20,39,44.0
DE64F3,DE64,399.5,0.0,1.0,1.0,0.686,0.0,0.0,0,399.2,0.537,1,1,1,42.0
DE64F4,DE64,301.5,0.0,1.0,1.0,0.483,0.0,0.0,0,399.2,0.44,4,4,17,38.0
DE64F5,DE64,386.6,0.0,1.0,0.997,0.346,0.0,0.0,0,380.9,0.506,20,19,43,36.0
DE64F6,DE64,397.5,0.0,1.0,1.0,0.379,0.0,0.0,0,330.0,0.513,0,0,0,34.0
DE64F7,DE64,394.6,0.001,1.0,1.0,0.485,0.0,0.0,0,185.6,0.413,10,10,14,38.0
DE64F8,DE64,389.2,0.0,1.0,1.0,0.421,0.0,0.0,0,75.1,0.474,26,13,48,39.0
DE64F9,DE64,364.8,0.0,1.0,0.279,0.47,0.0,0.0,1,0.0,,121,29,209,33.0
DE66F0,DE66,293.2,0.0,1.0,0.562,0.313,0.0,0.0,3,0.0,,618,39,957,42.0
DE66F1,DE66,368.6,0.0,1.0,1.0,0.386,0.0,0.0,0,0.0,,52,40,102,41.0
DE66F2,DE66,307.5,0.0,1.0,1.0,0.552,0.0,0.0,0,0.0,,0,0,106,46.0
DE62G7,DE62,132.2,0.0,1.0,1.0,0.962,0.0,0.0,0,0.0,,1,1,4,49.0
DE62G8,DE62,390.8,0.0,1.0,1.0,0.843,0.0,0.0,0,0.0,,9,9,14,47.0
DE62G9,DE62,398.2,0.0,1.0,1.0,0.733,0.0,0.0,0,0.0,,5,5,5,44.0
DE64G0,DE64,382.4,0.0,1.0,1.0,0.655,0.0,0.0,0,0.0,,49,22,79,47.0
DE64G1,DE64,391.5,0.0,1.0,1.0,0.561,0.0,0.0,0,71.8,0.445,41,40,69,44.0
DE64G2,DE64,399.5,0.003,1.0,1.0,0.389,0.0,0.0,0,399.1,0.503,0,0,0,35.0
DE64G3,DE64,397.2,0.0,1.0,0.779,0.62,0.0,0.0,0,399.2,0.44,7,5,6,35.0
DE64G4,DE64,384.6,0.0,1.0,0.852,0.469,0.0,0.0,0,399.2,0.138,33,32,72,38.0
DE64G5,DE64,398.3,0.0,1.0,1.0,0.518,0.0,0.0,0,399.2,0.426,0,0,0,38.0
DE64G6,DE64,375.4,0.0,1.0,0.808,0.573,0.0,0.0,0,399.2,0.4,60,42,108,42.0
DE64G7,DE64,370.8,0.0,1.0,0.578,0.437,0.0,0.0,1,399.2,0.474,69,10,113,33.0
